Country,Gender,Trust_Index
United States,Female,No score
United States,Male,Low trust
United States,Male,Low trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,No score
United States,Female,High trust
United States,Female,Medium trust
United States,Female,High trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,No score
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Female,No score
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,Low trust
United States,Female,Low trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Female,No score
United States,Female,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,High trust
United States,Female,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Female,No score
United States,Female,Medium trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Low trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Low trust
United States,Female,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,No score
United States,Male,No score
United States,Female,High trust
United States,Female,Low trust
United States,Male,Low trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,No score
United States,Male,Low trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Male,High trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,Low trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Low trust
United States,Male,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Low trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Female,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,No score
United States,Male,Medium trust
United States,Female,No score
United States,Male,Low trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,No score
United States,Female,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Female,Low trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Low trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,No score
United States,Male,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,No score
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Male,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,No score
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,No score
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,No score
United States,Male,High trust
United States,Female,High trust
United States,Male,Low trust
United States,Female,Low trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,High trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,Low trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,No score
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,No score
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,No score
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Low trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Male,Low trust
United States,Female,No score
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,Low trust
United States,Female,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,High trust
United States,Male,Low trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,No score
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Low trust
United States,Male,No score
United States,Female,Medium trust
United States,Female,High trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Female,High trust
United States,Female,No score
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Medium trust
United States,Male,Low trust
United States,Male,Low trust
United States,Female,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,Low trust
United States,Female,Low trust
United States,Female,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,High trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Male,High trust
United States,Female,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Male,High trust
United States,Male,High trust
United States,Male,High trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,Medium trust
United States,Female,Medium trust
United States,Female,Medium trust
United States,Female,High trust
United States,Male,High trust
United States,Male,Medium trust
United States,Female,No score
United States,Male,High trust
United States,Female,Medium trust
United States,Male,Medium trust
United States,Male,Medium trust
United States,Male,High trust
