Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,£ 515000 (€ 583130 $619550),£ 26780000 (€ 30322734 $32216592),,dea698d9
2,Kevin De Bruyne,be BEL,MF,Manchester City,31,£ 400000 (€ 452916 $481204),£ 20800000 (€ 23551638 $25022596),,e46012d4
3,David de Gea,es ESP,GK,Manchester Utd,31,£ 375000 (€ 424609 $451129),£ 19500000 (€ 22079661 $23458683),,7ba6d84e
4,Erling Haaland,no NOR,FW,Manchester City,22,£ 375000 (€ 424609 $451129),£ 19500000 (€ 22079661 $23458683),,1f44ac21
5,Jadon Sancho,eng ENG,FWMF,Manchester Utd,22,£ 350000 (€ 396302 $421053),£ 18200000 (€ 20607683 $21894771),,dbf053da
6,Mohamed Salah,eg EGY,FW,Liverpool,30,£ 350000 (€ 396302 $421053),£ 18200000 (€ 20607683 $21894771),,e342ad68
7,Raphaël Varane,fr FRA,DF,Manchester Utd,29,£ 340000 (€ 384979 $409023),£ 17680000 (€ 20018893 $21269206),,9f8e9423
8,Raheem Sterling,eng ENG,FWMF,Chelsea,27,£ 325000 (€ 367994 $390978),£ 16900000 (€ 19135706 $20330859),,b400bde0
9,Casemiro,br BRA,MF,Manchester Utd,30,£ 300000 (€ 339687 $360903),£ 15600000 (€ 17663729 $18766947),Unverified estimation,4d224fe8
10,Jack Grealish,eng ENG,FW,Manchester City,26,£ 300000 (€ 339687 $360903),£ 15600000 (€ 17663729 $18766947),,b0b4fd3e
11,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,£ 295000 (€ 334026 $354888),£ 15340000 (€ 17369333 $18454164),,da974c7b
12,N'Golo Kanté,fr FRA,MF,Chelsea,31,£ 290000 (€ 328364 $348873),£ 15080000 (€ 17074938 $18141382),,b9fbae28
13,Gabriel Jesus,br BRA,FW,Arsenal,25,£ 265000 (€ 300057 $318798),£ 13780000 (€ 15602960 $16577470),,b66315ae
14,Anthony Martial,fr FRA,FW,Manchester Utd,26,£ 250000 (€ 283073 $300752),£ 13000000 (€ 14719774 $15639122),,8b788c01
15,João Cancelo,pt POR,DF,Manchester City,28,£ 250000 (€ 283073 $300752),£ 13000000 (€ 14719774 $15639122),,bd6351cd
16,John Stones,eng ENG,DFMF,Manchester City,28,£ 250000 (€ 283073 $300752),£ 13000000 (€ 14719774 $15639122),,5eecec3d
17,Reece James,eng ENG,DFMF,Chelsea,22,£ 250000 (€ 283073 $300752),£ 13000000 (€ 14719774 $15639122),,1265a93a
18,Bruno Fernandes,pt POR,MFFW,Manchester Utd,27,£ 240000 (€ 271750 $288722),£ 12480000 (€ 14130983 $15013557),,507c7bdf
19,Phil Foden,eng ENG,FW,Manchester City,22,£ 225000 (€ 254765 $270677),£ 11700000 (€ 13247797 $14075210),,ed1e53f3
20,Virgil van Dijk,nl NED,DF,Liverpool,31,£ 220000 (€ 249104 $264662),£ 11440000 (€ 12953401 $13762428),,e06683ca
21,Rodri,es ESP,MF,Manchester City,26,£ 220000 (€ 249104 $264662),£ 11440000 (€ 12953401 $13762428),,6434f10d
22,Thomas Partey,gh GHA,MF,Arsenal,29,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,529f49ab
23,Antony,br BRA,FW,Manchester Utd,22,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,99127249
24,Marcus Rashford,eng ENG,FW,Manchester Utd,24,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,a1d5bd30
25,Harry Kane,eng ENG,FW,Tottenham,29,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,21a66f6a
26,Thiago Alcántara,es ESP,MF,Liverpool,31,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,77e84962
27,Wesley Fofana,fr FRA,DF,Chelsea,21,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,132a82f1
28,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,29,£ 200000 (€ 226458 $240602),£ 10400000 (€ 11775819 $12511298),,810e3c74
